trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,selected,rt,rt_UNIX,rt_perfnow,receivedResponse,rsp,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'rigatoni', 'src': '/static/foodstim60/rigatoni.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 4111.4000000003725, 'positionName': 'LEFT', 'positionCoords': [185.16, 143.5], 'bid': 1.6}, {'imgObject': {}, 'id': 'hashbrowns', 'src': '/static/foodstim60/hashbrowns.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 4116.700000001118, 'positionName': 'RIGHT', 'positionCoords': [645.84, 144], 'bid': 7.0600000000000005}]",4607.5,1669832347812,rigatoni,hashbrowns,1.6,7.0600000000000005,5.460000000000001,hashbrowns,2511.800000000745,2515,2515.300000000745,True,i,7628.0,3020.5,1669832350833,3021,HRV,HRV_0161,2022-11-30 18:24:32
1,"[{'imgObject': {}, 'id': 'tacos', 'src': '/static/foodstim60/tacos.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 4117.9000000003725, 'positionName': 'LEFT', 'positionCoords': [185.16, 143.5], 'bid': 9.42}, {'imgObject': {}, 'id': 'mashed potato', 'src': '/static/foodstim60/mashed potato.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 4126.9000000003725, 'positionName': 'RIGHT', 'positionCoords': [645.84, 144.5], 'bid': 1.6}]",7628.4000000003725,1669832350833,tacos,mashed potato,9.42,1.6,-7.82,tacos,1064.5,1065,1064.9000000003725,True,u,9201.300000000745,1572.9000000003725,1669832352406,1573,HRV,HRV_0161,2022-11-30 18:24:32
2,"[{'imgObject': {}, 'id': 'chicken nuggets2', 'src': '/static/foodstim60/chicken nuggets2.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 4129.60000000149, 'positionName': 'LEFT', 'positionCoords': [186.16, 144.5], 'bid': 1.57}, {'imgObject': {}, 'id': 'rigatoni', 'src': '/static/foodstim60/rigatoni.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 4110.60000000149, 'positionName': 'RIGHT', 'positionCoords': [645.84, 143.5], 'bid': 1.6}]",9201.700000001118,1669832352406,chicken nuggets2,rigatoni,1.57,1.6,0.030000000000000027,chicken nuggets2,1608.0,1609,1608.2999999988824,True,u,11318.10000000149,2116.4000000003725,1669832354523,2117,HRV,HRV_0161,2022-11-30 18:24:32
3,"[{'imgObject': {}, 'id': 'popsicles', 'src': '/static/foodstim60/popsicles.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 4592.300000000745, 'positionName': 'LEFT', 'positionCoords': [186.16, 144], 'bid': 0.21}, {'imgObject': {}, 'id': 'avocado', 'src': '/static/foodstim60/avocado.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 4175.700000001118, 'positionName': 'RIGHT', 'positionCoords': [645.84, 144.5], 'bid': 4.14}]",11318.400000000373,1669832354523,popsicles,avocado,0.21,4.14,3.9299999999999997,avocado,1838.5,1839,1838.7000000011176,True,i,13670.300000000745,2351.9000000003725,1669832356875,2352,HRV,HRV_0161,2022-11-30 18:24:32
4,"[{'imgObject': {}, 'id': 'steak', 'src': '/static/foodstim60/steak.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 4195, 'positionName': 'LEFT', 'positionCoords': [186.16, 144], 'bid': 8.94}, {'imgObject': {}, 'id': 'pear', 'src': '/static/foodstim60/pear.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 4195.10000000149, 'positionName': 'RIGHT', 'positionCoords': [645.84, 144], 'bid': 9.79}]",13670.60000000149,1669832356875,steak,pear,8.94,9.79,0.8499999999999996,steak,1357.2999999988824,1358,1358.0999999996275,True,u,15534.700000001118,1864.0999999996275,1669832358739,1864,HRV,HRV_0161,2022-11-30 18:24:32
5,"[{'imgObject': {}, 'id': 'edamame', 'src': '/static/foodstim60/edamame.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 4215.4000000003725, 'positionName': 'LEFT', 'positionCoords': [187.16, 144], 'bid': 7.0200000000000005}, {'imgObject': {}, 'id': 'kiwi', 'src': '/static/foodstim60/kiwi.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 4232.60000000149, 'positionName': 'RIGHT', 'positionCoords': [645.84, 144], 'bid': 9.86}]",15535.0,1669832358740,edamame,kiwi,7.0200000000000005,9.86,2.839999999999999,kiwi,1245.0,1245,1245.300000000745,True,i,17287.10000000149,1752.1000000014901,1669832360492,1752,HRV,HRV_0161,2022-11-30 18:24:32
6,"[{'imgObject': {}, 'id': 'chicken nuggets2', 'src': '/static/foodstim60/chicken nuggets2.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 4130, 'positionName': 'LEFT', 'positionCoords': [186.16, 144.5], 'bid': 1.57}, {'imgObject': {}, 'id': 'Grapes', 'src': '/static/foodstim60/Grapes.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 4236.9000000003725, 'positionName': 'RIGHT', 'positionCoords': [645.84, 143.5], 'bid': 8.97}]",17287.5,1669832360492,chicken nuggets2,Grapes,1.57,8.97,7.4,Grapes,1341.800000000745,1342,1342.1000000014901,True,i,19144.800000000745,1857.300000000745,1669832362349,1857,HRV,HRV_0161,2022-11-30 18:24:32
7,"[{'imgObject': {}, 'id': 'raisin bran w milk', 'src': '/static/foodstim60/raisin bran w milk.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 4254.60000000149, 'positionName': 'LEFT', 'positionCoords': [185.16, 143.5], 'bid': 5.32}, {'imgObject': {}, 'id': 'blueberries', 'src': '/static/foodstim60/blueberries.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 4255.5, 'positionName': 'RIGHT', 'positionCoords': [645.84, 143.5], 'bid': 9.86}]",19145.200000001118,1669832362350,raisin bran w milk,blueberries,5.32,9.86,4.539999999999999,blueberries,1236.9000000003725,1237,1237.199999999255,True,i,20893.800000000745,1748.5999999996275,1669832364098,1748,HRV,HRV_0161,2022-11-30 18:24:32
8,"[{'imgObject': {}, 'id': 'tacos', 'src': '/static/foodstim60/tacos.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 4122.4000000003725, 'positionName': 'LEFT', 'positionCoords': [185.16, 143.5], 'bid': 9.42}, {'imgObject': {}, 'id': 'blueberries', 'src': '/static/foodstim60/blueberries.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 4270.200000001118, 'positionName': 'RIGHT', 'positionCoords': [645.84, 143.5], 'bid': 9.86}]",20894.10000000149,1669832364099,tacos,blueberries,9.42,9.86,0.4399999999999995,blueberries,1424.5999999996275,1425,1424.8999999985099,True,i,22828.5,1934.3999999985099,1669832366033,1934,HRV,HRV_0161,2022-11-30 18:24:32
9,"[{'imgObject': {}, 'id': 'salad w chicken', 'src': '/static/foodstim60/salad w chicken.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 4270.800000000745, 'positionName': 'LEFT', 'positionCoords': [185.16, 143.5], 'bid': 9.79}, {'imgObject': {}, 'id': 'roastedpotatoes', 'src': '/static/foodstim60/roastedpotatoes.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 4279.200000001118, 'positionName': 'RIGHT', 'positionCoords': [645.84, 144], 'bid': 8.14}]",22828.800000000745,1669832366033,salad w chicken,roastedpotatoes,9.79,8.14,-1.6499999999999986,salad w chicken,1506.300000000745,1508,1506.5999999996275,True,u,24850.700000001118,2021.9000000003725,1669832368056,2023,HRV,HRV_0161,2022-11-30 18:24:32
